E_keV,lognh_21.00,lognh_21.05,lognh_21.10,lognh_21.15,lognh_21.20,lognh_21.25,lognh_21.30,lognh_21.35,lognh_21.40,lognh_21.45,lognh_21.50,lognh_21.55,lognh_21.60,lognh_21.65,lognh_21.70,lognh_21.75,lognh_21.80,lognh_21.85,lognh_21.90,lognh_21.95,lognh_22.00,lognh_22.05,lognh_22.10,lognh_22.15,lognh_22.20,lognh_22.25,lognh_22.30,lognh_22.35,lognh_22.40,lognh_22.45,lognh_22.50,lognh_22.55,lognh_22.60,lognh_22.65,lognh_22.70,lognh_22.75,lognh_22.80,lognh_22.85,lognh_22.90,lognh_22.95,lognh_23.00,lognh_23.05,lognh_23.10,lognh_23.15,lognh_23.20,lognh_23.25,lognh_23.30,lognh_23.35,lognh_23.40,lognh_23.45,lognh_23.50,lognh_23.55,lognh_23.60,lognh_23.65,lognh_23.70,lognh_23.75,lognh_23.80,lognh_23.85,lognh_23.90,lognh_23.95,lognh_24.00,lognh_24.05,lognh_24.10,lognh_24.15,lognh_24.20,lognh_24.25,lognh_24.30,lognh_24.35,lognh_24.40,lognh_24.45,lognh_24.50,lognh_24.55,lognh_24.60,lognh_24.65,lognh_24.70,lognh_24.75,lognh_24.80,lognh_24.85,lognh_24.90,lognh_24.95,lognh_25.00,lognh_25.05,lognh_25.10,lognh_25.15,lognh_25.20,lognh_25.25,lognh_25.30,lognh_25.35,lognh_25.40,lognh_25.45,lognh_25.50,lognh_25.55,lognh_25.60,lognh_25.65,lognh_25.70,lognh_25.75,lognh_25.80,lognh_25.85,lognh_25.90,lognh_25.95
0.30213360362796365,0.05404554525948163,0.0522024483719643,0.04580757214150699,0.0394126959110497,0.03306494585164128,0.028424720551104746,0.023784495250568218,0.01914426995003168,0.01549901537347086,0.011858721089496213,0.008230558756840776,0.006528911384491147,0.004827264012141517,0.0031256166397918895,0.0022996531976720983,0.001479108893990789,0.0006585645903094764,0.0004695047556605668,0.00028081578345754164,9.251313040750757e-05,6.175141048356416e-05,3.0989690559620714e-05,2.2797063567728738e-07,3.717763124260248e-13,1.8666561250503113e-13,1.5549125840373455e-15,0.0,0.0,1.5478695591072768e-15,2.387473235522602e-13,4.759467775454131e-13,7.131462315385663e-13,4.76621554158066e-13,2.3792347920741667e-13,2.1043499513208412e-16,6.505771653406223e-14,1.2990499807299243e-13,1.9475227961192261e-13,1.2620088228938813e-06,2.5248573212620392e-06,3.787705819629476e-06,3.808670888481617e-06,3.829635957333746e-06,3.830468800319426e-06,2.5623536369565918e-06,1.2942384735937603e-06,2.6123310230926494e-08,3.250089917591993e-13,4.0380323329879506e-13,4.825974748383909e-13,3.224036318516609e-13,1.6101309187813443e-13,7.906088475761238e-17,3.388418280111723e-14,6.768930471747682e-14,1.0113815353885296e-13,6.738504689914072e-14,3.363194025942847e-14,2.0509871629318213e-09,5.733908940329147e-07,1.1447308009028975e-06,1.6982021998200464e-06,1.127021264302335e-06,5.558403287846235e-07,1.6176041080955977e-08,6.184384612880374e-07,1.2207008814951197e-06,1.8229633017022015e-06,1.5518156307207425e-06,1.2763139278281382e-06,1.0024046219800822e-06,9.813466058159875e-07,9.602885896518932e-07,9.392305734877985e-07,1.226758824246805e-06,1.5161967688114278e-06,1.8056347133760508e-06,1.5093243399176331e-06,1.21266982182592e-06,9.169192900166231e-07,9.89854355628284e-07,1.0627894212399454e-06,1.1357244868516066e-06,1.3413173032886559e-06,1.5479005735194028e-06,1.7544838437501494e-06,1.3355070253269337e-06,9.112309593485778e-07,4.904406703745329e-07,6.003366079246237e-07,7.102325454747145e-07,8.201284830248052e-07,8.458211511066396e-07,8.7112749333818e-07,8.964021752366617e-07,9.119533172682863e-07,9.27504459299911e-07,9.430556013315356e-07,8.860381108365911e-07,8.289723189125175e-07
0.3064311593134994,0.05492866697016643,0.0520713590762032,0.0475747700433677,0.043078181010532214,0.038527182522072226,0.032004763684202145,0.025482344846332054,0.018959926008461966,0.015470512939604181,0.01199622051265811,0.008532840808426841,0.006802366472390101,0.005071892136353359,0.003341417800316621,0.0024957535184563276,0.0016555648517236122,0.0008153761849908934,0.0005585473748699624,0.0003020611642488817,4.6164816360632706e-05,3.0814464256239355e-05,1.5464112151845986e-05,1.1376004745262339e-07,9.005830823016059e-13,7.035868887178936e-13,5.065906951341808e-13,3.3720327002530534e-13,1.6804972052533378e-13,1.0849790126326368e-08,1.67349912563571e-06,3.336148461145094e-06,4.998797796654479e-06,3.34087874084323e-06,1.6677252589277356e-06,1.302490971003224e-12,9.343011922780818e-13,5.6611141355294e-13,1.9792163482779792e-13,2.2221824076388672e-07,4.4458417057984605e-07,6.669501003956784e-07,6.706417342501547e-07,6.74333368104629e-07,6.744800627927763e-07,4.511868101259663e-07,2.2789355745915718e-07,4.600304792347492e-09,3.2304092014341165e-06,6.528763737114922e-06,9.82711827279573e-06,6.570729331254066e-06,3.281518494913916e-06,2.1828438212257183e-13,2.1816694961288046e-13,2.1804951710318906e-13,2.915373088419668e-09,5.557012024404873e-07,1.1084870317925549e-06,1.6576561199704677e-06,1.2029326859974084e-06,7.482092520243494e-07,2.990245361553492e-07,1.9844935511428017e-07,9.78741740732111e-08,1.971642457078783e-08,7.537980968425531e-07,1.4878797691143193e-06,2.2219614413860847e-06,2.6690589187183994e-06,3.1147257526961567e-06,3.553939732507606e-06,2.9685270316306808e-06,2.383114330753755e-06,1.7977016298768303e-06,1.895111901252857e-06,1.9967478396148e-06,2.098383777976743e-06,1.6438077859164234e-06,1.1889050027327831e-06,7.353578580252326e-07,8.347000559614754e-07,9.340422538977182e-07,1.0333844518339609e-06,1.0974183060135373e-06,1.1611885398407001e-06,1.2249587736678628e-06,1.0624705788533321e-06,8.980657025775698e-07,7.35288547947265e-07,8.203211231968008e-07,9.053536984463363e-07,9.903862736958718e-07,1.1136141745547591e-06,1.2370173161345407e-06,1.3595561797282961e-06,1.216657486566972e-06,1.0737587934056472e-06,9.308601002443227e-07,7.777356092617692e-07,6.246043120237911e-07
0.3107898435350487,0.059872792694997554,0.056142314670572284,0.05162173014592061,0.04710114562126895,0.042502164538304306,0.035062637292764466,0.027623110047224647,0.02018358280168481,0.016546919914692405,0.012929215695959687,0.009323074541230396,0.007553110865576965,0.005783147189923535,0.004013183514270108,0.002944429539835479,0.0018800149763619654,0.0008156004128884478,0.000557896329172926,0.0003006660158133112,4.4058462843652094e-05,4.141256874577998e-05,3.876667464790787e-05,3.6120780550035766e-05,2.772492523254197e-05,1.9286139743455344e-05,1.084735425436871e-05,7.196676530815788e-06,3.5865591683736116e-06,1.3312589458679218e-08,2.0533675361138214e-06,4.093422482768963e-06,6.133477429424108e-06,5.197286891915633e-06,4.247441646371298e-06,3.297113049394119e-06,2.198319068264673e-06,1.0995250871352272e-06,7.311060057811716e-10,2.5234121173732777e-13,1.62757378602354e-13,7.317354546743134e-14,9.137029010929619e-14,1.0956703475115066e-13,1.2879533455437107e-13,2.1304326378839763e-13,2.97291193022424e-13,3.815391222564505e-13,1.6103081842750222e-06,3.254485903711018e-06,4.898663623147014e-06,3.2754051443497726e-06,1.6357854688814713e-06,4.128920429633863e-13,3.721326767261315e-13,3.313733104888767e-13,5.629542593071771e-09,1.0730755064871736e-06,2.1405214703812748e-06,3.2002860197639685e-06,2.12793377775186e-06,1.055581535739751e-06,1.4096112053220635e-08,9.153828201009711e-07,1.8166695281487222e-06,2.6826362970533934e-06,2.268873633207518e-06,1.8551109693616421e-06,1.4413483055157663e-06,1.8777946943701573e-06,2.318479455764489e-06,2.7544148030080865e-06,2.4362068934753227e-06,2.117998983942558e-06,1.799791074409794e-06,1.6980712619080974e-06,1.5976911913917204e-06,1.4973111208753433e-06,1.248052656468171e-06,9.987067215575507e-07,7.50491690919783e-07,9.635094528286972e-07,1.176527214737612e-06,1.3895449766465272e-06,1.2406172292571484e-06,1.0889871120434233e-06,9.37356994829698e-07,8.708007169329079e-07,8.04965116942499e-07,7.405316630622597e-07,8.89565573078575e-07,1.0385994830948904e-06,1.1876333931112052e-06,1.1889181139635268e-06,1.1895249593426693e-06,1.189735893768234e-06,1.0683544263169515e-06,9.469729588656689e-07,8.255914914143861e-07,9.101330949160443e-07,9.948117600967152e-07
0.31521052578638625,0.062154002550431096,0.05748825953654085,0.05415563314789306,0.05082300675924529,0.04735961504592348,0.039158197210106147,0.030956779374288815,0.022755361538471477,0.01889116729206903,0.015048595689928125,0.011217710882021958,0.009242651517100183,0.007267592152178407,0.005292532787256637,0.003904126152512305,0.00251934999704297,0.0011345738415736296,0.000804570579599113,0.00047518677174313213,0.00014650984280341356,0.00010609810396069253,6.568636511797146e-05,2.5274626275250408e-05,1.918037230524906e-05,1.334233841360107e-05,7.504304521953072e-06,4.978730505728421e-06,2.4812165448097795e-06,1.3491939069190682e-08,2.080974260600703e-06,4.148456582132217e-06,6.215938903663731e-06,4.913987290473212e-06,3.5965770610934177e-06,2.280975168519869e-06,1.5208188593747986e-06,7.606625502297274e-07,5.062410846562738e-10,5.49992043488083e-07,1.1003494163775787e-06,1.6507067892667606e-06,1.0975918243542108e-06,5.444768594419761e-07,1.7439710900053032e-13,1.9494305727752803e-13,2.1548900555452562e-13,2.3603495383152325e-13,4.7617513121557834e-07,9.62365505520714e-07,1.4485558798258496e-06,1.5492368067653915e-06,1.647987352970855e-06,1.7451440826417181e-06,1.162405135911992e-06,5.796661891822666e-07,3.087000586221608e-09,5.883912030722084e-07,1.1736954055581952e-06,1.754787718568585e-06,1.1667932362911667e-06,5.787987540137486e-07,1.862989924478415e-08,1.2098191890451203e-06,2.4010084788454566e-06,3.5421146433539037e-06,2.8685843425919135e-06,2.195054041829923e-06,1.5215237410679333e-06,1.3357074172730998e-06,1.152322393781126e-06,9.732851609909979e-07,1.4846187688158637e-06,1.995952376640731e-06,2.5072859844655963e-06,2.1081421505801375e-06,1.7033638043493154e-06,1.2985854581184924e-06,1.211284203074595e-06,1.124169475304894e-06,1.038102892577049e-06,1.3795162268094256e-06,1.7209295610418027e-06,2.0623428952741795e-06,1.7482382608577087e-06,1.4292393759745644e-06,1.11024049109142e-06,1.0920823402958311e-06,1.0764726729369503e-06,1.0615994923617703e-06,1.15885149697306e-06,1.2561035015843494e-06,1.3533555061956386e-06,1.2933094504035775e-06,1.232541708775341e-06,1.1714390194697944e-06,1.0074670050819125e-06,8.434949906940307e-07,6.79522976306149e-07,8.018431966782791e-07,9.243539721650105e-07
0.3196940879289874,0.06353946403577736,0.0582810602181168,0.055507898482697306,0.052734736747277834,0.04980819406603161,0.0413241924037305,0.032840190741429395,0.024356189079128298,0.020377233445343982,0.01642073711199653,0.012475691030742765,0.010348908259103645,0.008222125487464526,0.006095342715825408,0.004535352391007715,0.0029788696408173283,0.0014223868906269358,0.0010182993367359014,0.0006148885692459316,0.00021229194363472684,0.00014170233938028476,7.111273512584265e-05,5.231308714005555e-07,2.310408524627053e-06,4.638064076237823e-06,6.965719627848598e-06,4.6648621839914035e-06,2.3247963163277598e-06,7.85335996539324e-09,1.2112010203504146e-06,2.4145486807354363e-06,3.617896341120459e-06,2.417971987439052e-06,1.2070216690455816e-06,9.878985721305408e-13,8.382603361291973e-13,6.88622100127854e-13,5.389838641265105e-13,1.0312307523958025e-06,2.0631472524969425e-06,3.095063752597492e-06,2.0579770175379184e-06,1.0208902824789355e-06,2.630741951345367e-13,3.4172330030736815e-13,4.2037240548019937e-13,4.990215106530308e-13,2.771510538682115e-07,5.601309688020753e-07,8.431108837359394e-07,1.1893966984043419e-06,1.5359995078702414e-06,1.8813405690362917e-06,1.6884407504335816e-06,1.4955409318308714e-06,1.3026983740625136e-06,1.1206566319998017e-06,9.386148899370901e-07,7.563168912436583e-07,5.028901877455764e-07,2.494634842474946e-07,1.508604386093275e-08,9.796782255707024e-07,1.9442704072804726e-06,2.871324182391162e-06,2.438267919123909e-06,2.005211655856655e-06,1.5721553925894019e-06,1.3280698572828523e-06,1.084926358927919e-06,8.473564561959086e-07,1.4947987721551121e-06,2.1422410881143177e-06,2.7896834040735217e-06,2.2992172891692307e-06,1.8017091995735644e-06,1.3042011099778977e-06,1.344130754374936e-06,1.3843761594941023e-06,1.424928038663983e-06,1.5904735938214228e-06,1.7560191489788635e-06,1.9215647041363044e-06,1.7692676656579206e-06,1.61459754003833e-06,1.4599274144187395e-06,1.311564281633059e-06,1.1632545766746356e-06,1.0164833799960774e-06,1.1039397751882026e-06,1.191396170380328e-06,1.2788525655724532e-06,1.3448707876844954e-06,1.4107906511402024e-06,1.4757526143107761e-06,1.2465236858793404e-06,1.017294757447905e-06,7.880658290164694e-07,7.87537793876147e-07,7.871619812540745e-07
0.32424142436794623,0.06614969309234808,0.06069458850965102,0.057019947188973255,0.05334530586829548,0.04955313813852895,0.04150263053361742,0.03345212292870588,0.02540161532379434,0.021037078091755645,0.016690916768749106,0.01235946580615578,0.010363972898608511,0.008368479991061247,0.006372987083513986,0.004764573173754888,0.0031585546884214688,0.001552536203088043,0.0011431457247545527,0.0007344580101646727,0.00032651060459283485,0.00022046118311258925,0.00011441176163234347,8.362340152097772e-06,8.764287122263959e-06,9.96101780301809e-06,1.1157748483772224e-05,7.458013485484599e-06,3.716800219406524e-06,6.268094632229843e-13,5.563733745232549e-13,4.859372858235253e-13,4.1550119712379586e-13,7.050109207571037e-07,1.413255941991107e-06,2.116913299990644e-06,1.4114320102349274e-06,7.059507204792098e-07,4.694307234925542e-10,1.144185621766337e-06,2.2891324589017013e-06,3.4340792960364124e-06,2.2833959822140584e-06,1.1327126683923602e-06,4.025283144026763e-09,2.6175636429426473e-07,5.194874454445022e-07,7.7721852659474e-07,5.257216979146905e-07,2.635141791663408e-07,1.3066604179909465e-09,2.74278470770169e-13,3.114272225029176e-13,1.6267621333793286e-09,6.970542380600087e-07,1.392481713986637e-06,2.0827069749929505e-06,1.7916652801258132e-06,1.5006235852586756e-06,1.2098920023995036e-06,1.0052376672159585e-06,8.005833320324136e-07,6.070054432604724e-07,1.1105843258840394e-06,1.6141632085076064e-06,2.0946268007870576e-06,1.7375658073047185e-06,1.380504813822379e-06,1.0234438203400396e-06,1.4300377071583864e-06,1.8404384857810245e-06,2.246983387644565e-06,2.041266784289795e-06,1.835550180935025e-06,1.629833577580255e-06,1.5038609454644582e-06,1.3783818109026147e-06,1.2529026763407716e-06,1.3666552645948042e-06,1.480548408631906e-06,1.5939591259398548e-06,1.5106148810216792e-06,1.4272706361035033e-06,1.343926391185327e-06,1.4332063712048556e-06,1.5237752040611754e-06,1.6143440369174947e-06,1.3055106292258687e-06,9.932938034020285e-07,6.841669132887258e-07,8.454620611885106e-07,1.0067572090882953e-06,1.16805235698808e-06,1.4480882946363136e-06,1.7286690167905862e-06,2.0073953854886945e-06,1.7166116443343206e-06,1.4258279031799467e-06,1.1350441620255726e-06,1.0058125416674019e-06,8.766884498383173e-07
0.32885344223039664,0.06842479479441935,0.06278925485610452,0.05911693938248646,0.0554446239088684,0.05166304602037111,0.043922557945283665,0.036182069870196204,0.028441581795108754,0.023183930696995127,0.017938657448352654,0.012714966124129099,0.010918415180811873,0.009121864237494644,0.007325313294177422,0.005529289765589652,0.003733269500888932,0.0019372492361882045,0.0015393389767309766,0.001142249808720311,0.0007455398686148697,0.0005034790511165611,0.00026141823361825253,1.9357416119943923e-05,1.1754330722844172e-05,5.901745944082965e-06,4.916116532175031e-08,0.0,0.0,2.7192415806139353e-09,4.194227127497895e-07,8.361261839189649e-07,1.252829655088141e-06,2.471655801155147e-06,3.694162003518903e-06,4.907393940809497e-06,3.27195877325763e-06,1.6365236057057621e-06,1.088438153894977e-09,1.3653735042062744e-06,2.7316548924592146e-06,4.097936280711375e-06,2.724809339508118e-06,1.351682398305643e-06,1.2326961757659628e-08,8.016126296252349e-07,1.5908982974928082e-06,2.3801839653603827e-06,1.72924883774447e-06,1.0480212648941915e-06,3.6679369204391285e-07,2.425750853659405e-07,1.2114561753879406e-07,1.3993968404840515e-13,1.7939994927204852e-13,2.1886021449569183e-13,7.947255041021714e-10,1.514454773734998e-07,3.0209622924289736e-07,4.533315309985551e-07,7.668193223251891e-07,1.080307113651823e-06,1.3900333903534207e-06,1.4630081590262145e-06,1.535982927699008e-06,1.603832438318925e-06,1.485981074593089e-06,1.3681297108672534e-06,1.250278347141418e-06,1.6725261664398214e-06,2.0974664312478365e-06,2.516642791653808e-06,2.020588452114901e-06,1.5245341125759928e-06,1.0284797730370858e-06,1.2099190801117292e-06,1.3955510735077133e-06,1.5811830669036982e-06,1.5115368175508356e-06,1.4417405846051292e-06,1.3722746806517804e-06,1.4375315532071055e-06,1.502788425762431e-06,1.5680452983177566e-06,1.552924265296657e-06,1.5372031120337154e-06,1.5214819587707735e-06,1.3797291263726872e-06,1.2369086538235734e-06,1.0952418943722168e-06,1.1292202348750334e-06,1.1631985753778495e-06,1.197176915880666e-06,1.4941901821644665e-06,1.7924102565924292e-06,2.0889245374430588e-06,1.8615545046625047e-06,1.6341844718819509e-06,1.4068144391013966e-06,1.152751380243816e-06,8.986705546010222e-07
0.3335310615464707,0.07268123482364981,0.06701555562510843,0.06307566196326707,0.0591357683014257,0.05507986767897681,0.04682068142924126,0.0385614951795057,0.030302308929770132,0.025073593644177303,0.019859986363567773,0.014666276654598518,0.012632237507284823,0.010598198359971124,0.00856415921265743,0.006489181409963127,0.004413950259875626,0.002338719109788119,0.0019032943531070332,0.0014688326329528262,0.0010345983090501428,0.0006930961662389502,0.0003515940234277575,1.0091880616564973e-05,5.060211839190311e-06,2.540687863227433e-06,2.1163887264551276e-08,1.2465328829850705e-13,1.2806410852620547e-13,9.047738554837739e-09,1.3955259801815042e-06,2.782004221808171e-06,4.168482463434838e-06,3.159218360727783e-06,2.138962838658619e-06,1.120806032211032e-06,7.472870602919064e-07,3.7376808837278046e-07,2.4911645365457666e-10,1.5709086284192153e-06,3.1428619966003496e-06,4.714815364780586e-06,3.1349861260967006e-06,1.5551568874137145e-06,1.5225169015441573e-08,9.900615224329815e-07,1.964897875850519e-06,2.939734229268058e-06,2.973070317627547e-06,2.98660364705809e-06,3.0001369764886344e-06,2.002684865287063e-06,1.0001703961319666e-06,9.630735726877375e-10,4.125295903511827e-07,8.240961071296772e-07,1.2346686454909696e-06,1.4577521641574079e-06,1.6808356828238458e-06,1.9016916110228202e-06,1.5042391491489522e-06,1.1067866872750841e-06,7.229261363284898e-07,1.1945468820933235e-06,1.6661676278581581e-06,2.1228661666766386e-06,2.0388959531089806e-06,1.9549257395413227e-06,1.8709555259736647e-06,1.8482086753803222e-06,1.8257670290418734e-06,1.8064935459118743e-06,2.29028188139572e-06,2.774070216879567e-06,3.257858552363412e-06,2.8487301870216534e-06,2.4340759844172707e-06,2.019421781812888e-06,1.703781241388335e-06,1.3881988744478772e-06,1.0735083507136943e-06,1.1225509407524771e-06,1.17159353079126e-06,1.2206361208300433e-06,1.289432833500948e-06,1.3583770350715245e-06,1.4273212366421014e-06,1.4084771773590874e-06,1.388889445749248e-06,1.3684805650803197e-06,1.2230572342492016e-06,1.077633903418084e-06,9.322105725869661e-07,8.810390446590669e-07,8.302999454020287e-07,7.807495519025884e-07,1.096275160683895e-06,1.411800769465201e-06,1.7273263782465069e-06,1.4963723308862258e-06,1.2650545485696306e-06
0.33827521543283157,0.07922813031216842,0.07317999928675918,0.06764019231324797,0.06210038533973677,0.056478450039610634,0.04788075524155611,0.039283060443501605,0.030685365645447084,0.026549052341460936,0.022434980654253946,0.01832982972380811,0.015641266356683916,0.012952702989559719,0.010264139622435532,0.007766218407324207,0.005269476974298988,0.0027727355412737603,0.002084410406258528,0.0013971473301289004,0.0007110235028739338,0.000489485315205617,0.00026794712753730026,4.6408939868983564e-05,3.0732968221998165e-05,1.6593998290453468e-05,2.455028358908751e-06,1.5601887918620976e-06,7.775410835803493e-07,6.236212253321112e-13,5.915640946791815e-13,5.595069640262519e-13,5.274498333733223e-13,1.771414156295375e-06,3.550954848744727e-06,5.318968550936966e-06,3.5463720048510014e-06,1.7737754587650344e-06,1.1789126790678022e-09,2.1080635122829344e-06,4.2175299174335435e-06,6.326996322582949e-06,4.206961108457092e-06,2.0869258943324435e-06,2.4948277577606866e-08,1.6223808484750314e-06,3.2198134193724515e-06,4.817245990269876e-06,6.116514260702776e-06,7.409511183179175e-06,8.702508105655577e-06,5.888203591457221e-06,3.053332381379971e-06,2.2948340685171517e-07,2.1075371490672876e-06,3.985590891282858e-06,5.847223875461183e-06,4.611494005709762e-06,3.3757641359583402e-06,2.1462818088797e-06,2.650918974741966e-06,3.1555561406042323e-06,3.63646932870254e-06,2.6241841454122613e-06,1.6118989621219814e-06,6.366627981080973e-07,1.0038049499367101e-06,1.3709471017653236e-06,1.738089253593937e-06,1.8333211118335873e-06,1.927197471542594e-06,2.0250524334700034e-06,2.7546560572696625e-06,3.4842596810693237e-06,4.213863304868982e-06,3.4848534077001087e-06,2.746816844394872e-06,2.0087802810896344e-06,1.7949982252122573e-06,1.5815241845176143e-06,1.3691101550018773e-06,1.5890155780813585e-06,1.8089210011608401e-06,2.0288264242403216e-06,1.919346518894992e-06,1.807407345650901e-06,1.6954681724068111e-06,1.4439293946500425e-06,1.191208040069193e-06,9.423915880587366e-07,1.2880704257537496e-06,1.633749263448762e-06,1.9794281011437748e-06,1.6600899403641737e-06,1.3377006717235829e-06,1.017297003167562e-06,1.3067119851644683e-06,1.596126967161374e-06,1.88554194915828e-06,1.5683172993759817e-06,1.2506888723670594e-06
0.3430868502788161,0.08227228688415929,0.07844319314331318,0.07271388836343254,0.0669845835835519,0.061180376434313934,0.05266222823429193,0.04414408003426992,0.035625931834247934,0.030707490295972882,0.02580699461061232,0.020913995612047098,0.01721144643345956,0.013508897254872029,0.009806348076284499,0.007756409501592559,0.005716698048055011,0.003676986594517454,0.0029341903010829122,0.0021921556687057157,0.0014508083950393687,0.000989765972585266,0.0005287235501311631,6.76811276770606e-05,4.90908371502241e-05,3.380396819785552e-05,1.8517099245486926e-05,1.2280224427379644e-05,6.120012677045831e-06,2.5829400924448904e-14,1.00554129208566e-13,1.7527885749268305e-13,2.500035857768002e-13,2.1284655756449196e-07,4.2666938174050085e-07,6.391071667662215e-07,4.261187390170459e-07,2.1313031126787038e-07,1.4188351869480766e-10,1.1213287665551179e-07,2.243401445053411e-07,3.365474123551064e-07,2.2377802644415514e-07,1.1100864053326812e-07,1.2842907110981023e-09,8.349065434648324e-08,1.656970179818682e-07,2.479033816172533e-07,6.781033052286635e-07,1.1156226453424207e-06,1.5531419854561784e-06,1.5949430577741373e-06,1.6347626302209623e-06,1.673182408212518e-06,1.1144731080911466e-06,5.557638079697756e-07,3.731815422410399e-09,7.112058942194387e-07,1.4186799730164671e-06,2.1233558644970964e-06,2.051343796500598e-06,1.9793317285040995e-06,1.92216228823613e-06,2.7991948511852053e-06,3.676227414134282e-06,4.541623646477507e-06,4.985406616544163e-06,5.42918958661082e-06,5.872972556677476e-06,4.662584190776148e-06,3.4439496243145505e-06,2.235505011846945e-06,2.6450884018946473e-06,3.054671791942351e-06,3.464255181990053e-06,2.793789986977511e-06,2.1166408843717376e-06,1.4394917817659641e-06,1.539742146222363e-06,1.6404492560867882e-06,1.7411614300390169e-06,1.8439389630276931e-06,1.9467164960163694e-06,2.0494940290050452e-06,1.8159078010298938e-06,1.5798102025465275e-06,1.3437126040631615e-06,1.414393189815725e-06,1.4876725563605234e-06,1.5607012978222967e-06,1.595574047257512e-06,1.6304467966927277e-06,1.6653195461279432e-06,1.648694767174893e-06,1.6318337167971312e-06,1.6154353797851273e-06,1.7411458402556229e-06,1.8668563007261185e-06,1.9925667611966144e-06,1.5955586618453796e-06,1.198202642840807e-06
